Description,Chamber,Created date,Energy Policy Index,URL
"An Act amending Titles 27 (Environmental Resources) and 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in administrative provisions, providing for definitions, for coal-powered plants, for regulations, for natural gas and coal permit database, for natural gas and coal permit review procedure and for withdrawal from Regional Greenhouse Gas Initiative; in development relating to oil and gas, further providing for well permits and providing for leases in State parks and forests; and making an editorial change.",Senate,2022-05-06,58.4067,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1219&pn=1635
A Resolution urging the Congress of the United States and the United States Environmental Protection Agency to take action and end regulations relating to vehicle emissions testing.,House,2022-03-29,57.9048,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0190&pn=2892
A Resolution urging the Governors of New York and New Jersey to end anti-pipeline policies that block Pennsylvania natural gas from reaching markets in New England.,House,2022-03-23,54.7097,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0187&pn=2868
An Act establishing the greenhouse gas emissions fee on manufacturers; establishing the Greenhouse Gas Emissions Fund; and imposing duties on Department of Community and Economic Development.,House,2022-10-27,53.8483,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2907&pn=3610
"An Act amending Title 66 (Public Utilities) of the Pennsylvania Consolidated Statutes, in restructuring of electric utility industry, further providing for energy efficiency and conservation program.",House,2022-08-31,53.0732,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2795&pn=3432
"An Act amending Title 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in unconventional gas well fee, further providing for Statewide initiatives.",Senate,2022-09-14,51.8919,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1331&pn=1892
"An Act amending the act of November 29, 2004 (P.L.1376, No.178), known as the Alternative Fuels Incentive Act, further providing for title of act, for short title of act, for definitions and for Alternative Fuels Incentive Fund; repealing provisions relating to biomass-based diesel production incentives; further providing for annual report; and repealing provisions relating to interfund transfer.",House,2022-10-06,51.2589,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2870&pn=3543
"An Act amending the act of November 29, 2004 (P.L.1376, No.178), known as the Alternative Fuels Incentive Act, further providing for title of act, for short title of act, for definitions and for Alternative Fuels Incentive Fund; repealing provisions relating to biomass-based diesel production incentives; further providing for annual report; and repealing provisions relating to interfund transfer.",Senate,2022-10-04,51.2147,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1339&pn=1952
"An Act amending Title 66 (Public Utilities) of the Pennsylvania Consolidated Statutes, in miscellaneous provisions, providing for retail electric and gas customer assistance and establishing the Retail Electric and Gas Customer Assistance Program; and making an appropriation.",House,2022-06-21,49.7349,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2693&pn=3291
"An Act amending Title 58 (Oil and Gas) of the Pennsylvania Consolidated
 Statutes, in oil and gas well plugging oversight, further
 providing for allocation of funding, for establishment of Oil
 and Gas Well Plugging Grant Program, for grants, for eligible
 wells, for qualified well plugger and for applications and
 review process; in development, further providing for well
 plugging funds and providing for well plugging contracts; and
 making editorial changes.",House,2022-04-21,47.5052,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2528&pn=3005
"An Act amending Title 27 (Environmental Resources) of the Pennsylvania Consolidated Statutes, in environmental protection, providing for decommissioning of solar energy facilities.",Senate,2023-01-31,46.5925,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0211&pn=0180
"An Act amending the act of October 31, 2006 (P.L.1210, No.133), known as the Price Gouging Act, further providing for definitions and prohibiting petroleum price gouging.",House,2022-06-21,45.9487,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2697&pn=3293
An Act providing for standards for carbon monoxide alarms in dormitories; and imposing penalties.,Senate,2023-01-31,45.1765,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0207&pn=0178
An Act establishing the Alternative Fuel Vehicle Purchase Rebate Program within the Department of Environmental Protection and the Alternative Fuel Vehicle Purchase Rebate Account; and making an appropriation.,House,2022-09-10,45.1765,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2801&pn=3438
"An Act amending Title 68 (Real and Personal Property) of the Pennsylvania Consolidated Statutes, in general provisions relating to condominiums, further providing for definitions; and, in management of the condominium, further providing for powers of unit owners' association.",Senate,2023-01-19,44.7607,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0031&pn=0051
An Act providing for standards for carbon monoxide alarms in schools; and imposing penalties.,Senate,2023-01-31,44.7059,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0208&pn=0179
A Resolution directing the Joint State Government Commission to conduct a study on the feasibility of constructing geothermal systems in densely populated locations of this Commonwealth and to issue a report of its findings and recommendations to the General Assembly.,House,2022-10-14,43.7277,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0236&pn=3557
"An Act amending the act of January 8, 1960 (1959 P.L.2119, No.787), known as the Air Pollution Control Act, further providing for advice to department.",Senate,2023-02-01,42.457,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0274&pn=0237
